Source	Dests
Lakeland-Winter Haven, FL Metro Area	Orlando-Kissimmee-Sanford, FL Metro Area
Lancaster, PA Metro Area	
Lansing-East Lansing, MI Metro Area	
Laredo, TX Metro Area	
Las Cruces, NM Metro Area	
Las Vegas-Henderson-Paradise, NV Metro Area	Los Angeles-Long Beach-Anaheim, CA Metro Area
Lawrence, KS Metro Area	
Lawton, OK Metro Area	
Lebanon, PA Metro Area	
Lewiston, ID-WA Metro Area	
Lewiston-Auburn, ME Metro Area	
Lexington-Fayette, KY Metro Area	
Lima, OH Metro Area	
Lincoln, NE Metro Area	
Little Rock-North Little Rock-Conway, AR Metro Area	
Logan, UT-ID Metro Area	
Longview, TX Metro Area	
Longview, WA Metro Area	
Los Angeles-Long Beach-Anaheim, CA Metro Area	Bakersfield, CA Metro Area+Chicago-Naperville-Elgin, IL-IN-WI Metro Area+Dallas-Fort Worth-Arlington, TX Metro Area+Fresno, CA Metro Area+Houston-The Woodlands-Sugar Land, TX Metro Area+Las Vegas-Henderson-Paradise, NV Metro Area+New York-Newark-Jersey City, NY-NJ-PA Metro Area+Oxnard-Thousand Oaks-Ventura, CA Metro Area+Phoenix-Mesa-Scottsdale, AZ Metro Area+Portland-Vancouver-Hillsboro, OR-WA Metro Area+Riverside-San Bernardino-Ontario, CA Metro Area+Sacramento--Roseville--Arden-Arcade, CA Metro Area+San Diego-Carlsbad, CA Metro Area+San Francisco-Oakland-Hayward, CA Metro Area+San Jose-Sunnyvale-Santa Clara, CA Metro Area+Santa Maria-Santa Barbara, CA Metro Area+Seattle-Tacoma-Bellevue, WA Metro Area+Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area
Louisville/Jefferson County, KY-IN Metro Area	
Lubbock, TX Metro Area	
Lynchburg, VA Metro Area	
Macon, GA Metro Area	
Madera, CA Metro Area	
Madison, WI Metro Area	
Manchester-Nashua, NH Metro Area	Boston-Cambridge-Newton, MA-NH Metro Area
Manhattan, KS Metro Area	
Mankato-North Mankato, MN Metro Area	
Mansfield, OH Metro Area	
Mayagüez, PR Metro Area	
McAllen-Edinburg-Mission, TX Metro Area	
Medford, OR Metro Area	
Memphis, TN-MS-AR Metro Area	
Merced, CA Metro Area	
Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	Atlanta-Sandy Springs-Roswell, GA Metro Area+Cape Coral-Fort Myers, FL Metro Area+Gainesville, FL Metro Area+Jacksonville, FL Metro Area+New York-Newark-Jersey City, NY-NJ-PA Metro Area+Orlando-Kissimmee-Sanford, FL Metro Area+Port St. Lucie, FL Metro Area+Tallahassee, FL Metro Area+Tampa-St. Petersburg-Clearwater, FL Metro Area
Michigan City-La Porte, IN Metro Area	
Midland, MI Metro Area	
Midland, TX Metro Area	
Milwaukee-Waukesha-West Allis, WI Metro Area	Madison, WI Metro Area
Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	Duluth, MN-WI Metro Area+St. Cloud, MN Metro Area
Missoula, MT Metro Area	
Mobile, AL Metro Area	
Modesto, CA Metro Area	
Monroe, LA Metro Area	
Monroe, MI Metro Area	
Montgomery, AL Metro Area	
Morgantown, WV Metro Area	
Morristown, TN Metro Area	
Mount Vernon-Anacortes, WA Metro Area	
Muncie, IN Metro Area	
Muskegon, MI Metro Area	
Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area	
Napa, CA Metro Area	
Naples-Immokalee-Marco Island, FL Metro Area	Cape Coral-Fort Myers, FL Metro Area
Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area	
New Bern, NC Metro Area	
New Haven-Milford, CT Metro Area	Bridgeport-Stamford-Norwalk, CT Metro Area+Hartford-West Hartford-East Hartford, CT Metro Area
New Orleans-Metairie, LA Metro Area	Baton Rouge, LA Metro Area
New York-Newark-Jersey City, NY-NJ-PA Metro Area	Albany-Schenectady-Troy, NY Metro Area+Allentown-Bethlehem-Easton, PA-NJ Metro Area+Atlanta-Sandy Springs-Roswell, GA Metro Area+Baltimore-Columbia-Towson, MD Metro Area+Binghamton, NY Metro Area+Boston-Cambridge-Newton, MA-NH Metro Area+Bridgeport-Stamford-Norwalk, CT Metro Area+Buffalo-Cheektowaga-Niagara Falls, NY Metro Area+Charlotte-Concord-Gastonia, NC-SC Metro Area+Chicago-Naperville-Elgin, IL-IN-WI Metro Area+Dallas-Fort Worth-Arlington, TX Metro Area+Hartford-West Hartford-East Hartford, CT Metro Area+Houston-The Woodlands-Sugar Land, TX Metro Area+Kingston, NY Metro Area+Los Angeles-Long Beach-Anaheim, CA Metro Area+Miami-Fort Lauderdale-West Palm Beach, FL Metro Area+Orlando-Kissimmee-Sanford, FL Metro Area+Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area+Phoenix-Mesa-Scottsdale, AZ Metro Area+Providence-Warwick, RI-MA Metro Area+Rochester, NY Metro Area+San Francisco-Oakland-Hayward, CA Metro Area+Scranton--Wilkes-Barre--Hazleton, PA Metro Area+Syracuse, NY Metro Area+Tampa-St. Petersburg-Clearwater, FL Metro Area+Trenton, NJ Metro Area+Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area
Niles-Benton Harbor, MI Metro Area	
North Port-Sarasota-Bradenton, FL Metro Area	
Norwich-New London, CT Metro Area	
Ocala, FL Metro Area	
Ocean City, NJ Metro Area	
Odessa, TX Metro Area	
Ogden-Clearfield, UT Metro Area	Salt Lake City, UT Metro Area
Oklahoma City, OK Metro Area	
Olympia-Tumwater, WA Metro Area	Seattle-Tacoma-Bellevue, WA Metro Area
Omaha-Council Bluffs, NE-IA Metro Area	Lincoln, NE Metro Area
Orlando-Kissimmee-Sanford, FL Metro Area	Deltona-Daytona Beach-Ormond Beach, FL Metro Area+Lakeland-Winter Haven, FL Metro Area+Miami-Fort Lauderdale-West Palm Beach, FL Metro Area+Tampa-St. Petersburg-Clearwater, FL Metro Area
Oshkosh-Neenah, WI Metro Area	
Owensboro, KY Metro Area	
Oxnard-Thousand Oaks-Ventura, CA Metro Area	Los Angeles-Long Beach-Anaheim, CA Metro Area
Palm Bay-Melbourne-Titusville, FL Metro Area	
Panama City, FL Metro Area	
Parkersburg-Vienna, WV Metro Area	
Pensacola-Ferry Pass-Brent, FL Metro Area	
Peoria, IL Metro Area	
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	Allentown-Bethlehem-Easton, PA-NJ Metro Area+Baltimore-Columbia-Towson, MD Metro Area+New York-Newark-Jersey City, NY-NJ-PA Metro Area+Pittsburgh, PA Metro Area+Reading, PA Metro Area+Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area
Phoenix-Mesa-Scottsdale, AZ Metro Area	Flagstaff, AZ Metro Area+Los Angeles-Long Beach-Anaheim, CA Metro Area+Portland-Vancouver-Hillsboro, OR-WA Metro Area+Prescott, AZ Metro Area+Seattle-Tacoma-Bellevue, WA Metro Area+Tucson, AZ Metro Area
Pine Bluff, AR Metro Area	
Pittsburgh, PA Metro Area	
Pittsfield, MA Metro Area	
Pocatello, ID Metro Area	
Ponce, PR Metro Area	
Port St. Lucie, FL Metro Area	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area
Portland-South Portland, ME Metro Area	
Portland-Vancouver-Hillsboro, OR-WA Metro Area	Salem, OR Metro Area+Seattle-Tacoma-Bellevue, WA Metro Area
Prescott, AZ Metro Area	
Providence-Warwick, RI-MA Metro Area	Boston-Cambridge-Newton, MA-NH Metro Area
Provo-Orem, UT Metro Area	Salt Lake City, UT Metro Area
Pueblo, CO Metro Area	
Punta Gorda, FL Metro Area	
Racine, WI Metro Area	
Raleigh, NC Metro Area	Durham-Chapel Hill, NC Metro Area
Rapid City, SD Metro Area	
Reading, PA Metro Area	
Redding, CA Metro Area	
Reno, NV Metro Area	
Richmond, VA Metro Area	Virginia Beach-Norfolk-Newport News, VA-NC Metro Area+Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area
