ID	Source	SOURCE_coord	Dest	DEST_coord  count
80	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Virginia Beach-Norfolk-Newport News, VA-NC Metro Area	 36.8529841,-75.9774183	1053
81	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Warner Robins, GA Metro Area	 32.6209775,-83.5999048	1477
82	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	4861
83	Atlantic City-Hammonton, NJ Metro Area	 39.3642852,-74.4229351	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	2283
84	Atlantic City-Hammonton, NJ Metro Area	 39.3642852,-74.4229351	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	3108
85	Auburn-Opelika, AL Metro Area	 41.4767352,-81.1443658	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	1013
86	Auburn-Opelika, AL Metro Area	 41.4767352,-81.1443658	Birmingham-Hoover, AL Metro Area	 33.570499,-86.765783	1170
87	Auburn-Opelika, AL Metro Area	 41.4767352,-81.1443658	Columbus, GA-AL Metro Area	 32.4609764,-84.9877094	1237
88	Augusta-Richmond County, GA-SC Metro Area	 33.4709714,-81.9748429	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	3036
89	Augusta-Richmond County, GA-SC Metro Area	 33.4709714,-81.9748429	Columbia, SC Metro Area	 34.0007493,-81.0343313	1650
90	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	1114
91	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	College Station-Bryan, TX Metro Area	 30.6253463,-96.3271538	2194
92	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	Corpus Christi, TX Metro Area	 27.8002542,-97.3955744	1506
93	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	8623
94	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	1369
95	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	8736
96	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	Killeen-Temple, TX Metro Area	 31.1171441,-97.727796	2672
97	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	1237
98	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	1477
99	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	1054
100	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	San Antonio-New Braunfels, TX Metro Area	 29.4246002,-98.4951405	7048
101	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	Waco, TX Metro Area	 31.549333,-97.1466695	1002
102	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	1130
103	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	Fresno, CA Metro Area	 36.7295295,-119.708861260756	2211
104	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	Hanford-Corcoran, CA Metro Area	 36.3274502,-119.6456844	2078
105	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	5175
106	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	Oxnard-Thousand Oaks-Ventura, CA Metro Area	 34.1976308,-119.1803818	1105
107	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	2788
108	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	Sacramento--Roseville--Arden-Arcade, CA Metro Area	 38.5815719,-121.4943996	1088
109	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	San Diego-Carlsbad, CA Metro Area	 32.7174209,-117.1627714	1106
110	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area	 35.2827525,-120.6596156	1136
111	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	Visalia-Porterville, CA Metro Area	 36.3302284,-119.2920585	1368
112	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	1163
113	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	1384
114	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	1172
115	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Hagerstown-Martinsburg, MD-WV Metro Area	 39.6419219,-77.7202641	1733
116	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	1698
117	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	1203
118	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	1027
119	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	3505
120	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	5292
121	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Salisbury, MD-DE Metro Area	 38.3662114,-75.6008881	4061
122	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	1266
123	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Virginia Beach-Norfolk-Newport News, VA-NC Metro Area	 36.8529841,-75.9774183	1103
