Location	Coordinates
Kennewick-Richland, WA Metro Area 	 46.2083948,-119.1202072
Kokomo, IN Metro Area 	 40.4864444,-86.1336351
Lafayette, LA Metro Area 	 30.2240897,-92.0198427
Lincoln, NE Metro Area 	 40.8,-96.667821
Missoula, MT Metro Area 	 46.8700801,-113.9952796
Mount Vernon-Anacortes, WA Metro Area 	 48.4200462,-122.32642
Napa, CA Metro Area 	 38.2975,-122.2869
New Bern, NC Metro Area 	 35.1084931,-77.0441143
Ogden-Clearfield, UT Metro Area 	 41.2230048,-111.9738429
Olympia-Tumwater, WA Metro Area 	 47.0451022,-122.8950075
Peoria, IL Metro Area 	 40.6938609,-89.5891008
Pueblo, CO Metro Area 	 38.187635,-104.5350145
Racine, WI Metro Area 	 42.7260523,-87.7825242
Santa Fe, NM Metro Area 	 35.6869996,-105.9377997
Santa Rosa, CA Metro Area 	 38.4404,-122.7141
Vallejo-Fairfield, CA Metro Area 	 38.1040864,-122.2566367
Visalia-Porterville, CA Metro Area 	 36.3302284,-119.2920585
Yuma, AZ Metro Area 	 32.6926588,-114.6276157
Hammond, LA Metro Area 	 41.5833658,-87.500043
Johnson City, TN Metro Area 	 36.3134398,-82.3534728
Merced, CA Metro Area 	 37.3029568,-120.4843269
Pocatello, ID Metro Area 	 42.8688613,-112.4401098
Winston-Salem, NC Metro Area 	 36.0999,-80.2442
Aguadilla-Isabela, PR Metro Area 	 18.44215415,-67.1473105463995
Casper, WY Metro Area 	 38.3067052,-122.3465718
Chambersburg-Waynesboro, PA Metro Area 	 39.9405903,-77.6598624
Charlottesville, VA Metro Area 	 38.029306,-78.4766781
East Stroudsburg, PA Metro Area 	 40.9995386,-75.1812913
Elizabethtown-Fort Knox, KY Metro Area 	 37.693952,-85.8591285
Gettysburg, PA Metro Area 	 39.8309399,-77.2310908
Hanford-Corcoran, CA Metro Area 	 36.3274502,-119.6456844
Morristown, TN Metro Area 	 36.2139814,-83.2948923
Ocean City, NJ Metro Area 	 39.2776156,-74.5746001
Staunton-Waynesboro, VA Metro Area 	 38.1496,-79.0717
Stockton-Lodi, CA Metro Area 	 38.1341, -121.2722
Topeka, KS Metro Area 	 39.049011,-95.677556
Williamsport, PA Metro Area 	 41.2493292,-77.0027671
Abilene, TX Metro Area 	 32.4466741,-99.7333011
Fond du Lac, WI Metro Area 	 43.7748763,-88.4458033
Grand Junction, CO Metro Area 	 39.063956,-108.5507317
