ID	Source	SOURCE_coord	Dest	DEST_coord	count
58	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	3587
59	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	10560
60	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	2583
61	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Portland-South Portland, ME Metro Area	 43.6591,-70.2568	3891
62	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Providence-Warwick, RI-MA Metro Area	 41.8240,-71.4128	14371
63	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	3170
64	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Springfield, MA Metro Area	 42.1014831,-72.589811	6473
65	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	5143
66	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Worcester, MA-CT Metro Area	 42.2625932,-71.8022934	11893
67	Boulder, CO Metro Area	 40.102555,-105.3632079	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	9340
68	Boulder, CO Metro Area	 40.102555,-105.3632079	Greeley, CO Metro Area	 38.4570355,-101.8185007	2097
69	Bremerton-Silverdale, WA Metro Area	 47.5653663,-122.6246836	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	4366
70	Bridgeport-Stamford-Norwalk, CT Metro Area	 41.1792,-73.1894	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	4038
71	Bridgeport-Stamford-Norwalk, CT Metro Area	 41.1792,-73.1894	New Haven-Milford, CT Metro Area	 41.3083,-72.9279	5564
72	Bridgeport-Stamford-Norwalk, CT Metro Area	 41.1792,-73.1894	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	6317
73	Buffalo-Cheektowaga-Niagara Falls, NY Metro Area	 42.8867166,-78.8783922	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	2588
74	Buffalo-Cheektowaga-Niagara Falls, NY Metro Area	 42.8867166,-78.8783922	Rochester, NY Metro Area	 43.1854754,-77.6106861508176	3310
75	Canton-Massillon, OH Metro Area	 40.7989522,-81.3784445	Akron, OH Metro Area	 41.083064,-81.518485	3318
76	Cape Coral-Fort Myers, FL Metro Area	 26.6059432,-81.9806771	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	2194
77	Cape Coral-Fort Myers, FL Metro Area	 26.6059432,-81.9806771	Naples-Immokalee-Marco Island, FL Metro Area	 26.1421976,-81.7942944	2275
78	Champaign-Urbana, IL Metro Area	 40.1164205,-88.2433829	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	4163
79	Charleston, WV Metro Area	 38.3505995,-81.6332812	Huntington-Ashland, WV-KY-OH Metro Area	 38.4192496,-82.445154	2034
80	Charleston-North Charleston, SC Metro Area	 32.7876012,-79.9402728	Columbia, SC Metro Area	 34.0007493,-81.0343313	2945
81	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	2521
82	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	Columbia, SC Metro Area	 34.0007493,-81.0343313	3281
83	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	Durham-Chapel Hill, NC Metro Area	 36.0181316,-78.8751582	2518
84	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	Greensboro-High Point, NC Metro Area	 36.0726355,-79.7919754	2895
85	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	Greenville-Anderson-Mauldin, SC Metro Area	 34.851354,-82.3984882	2421
86	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	Hickory-Lenoir-Morganton, NC Metro Area	 35.7333312,-81.3442915	2679
87	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	Raleigh, NC Metro Area	 35.7803977,-78.6390989	3463
88	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	Winston-Salem, NC Metro Area	 36.0999,-80.2442	3377
89	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	4367
90	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Bloomington, IL Metro Area	 40.4731073,-88.9941403	5084
91	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Bloomington, IN Metro Area	 39.1670396,-86.5342881	2328
92	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	2380
93	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Carbondale-Marion, IL Metro Area	 37.7274692,-89.216655	2506
94	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Champaign-Urbana, IL Metro Area	 40.1164205,-88.2433829	8638
