metro,white_value,white_rank,black_value,black_rank,asian_value,asian_rank,other_value,other_rank
"Lima, OH Metro Area",0.0006358764002956048,366,0.0006020014192568892,318.0,0.00040025339381032657,376.0,0.0005874028653828741,346
"Great Falls, MT Metro Area",0.0006286507948400739,367,0.0004088182660085224,383.0,0.00041160265429717705,364.0,0.0011563372489172372,218
"Rocky Mount, NC Metro Area",0.0006246472559909283,368,0.0016135879602354234,146.0,0.00046958385400900987,324.0,0.001173027658971055,216
"Sumter, SC Metro Area",0.0006196564193336761,369,0.0011850069042140287,192.0,0.00048785383591232325,313.0,0.0004929695445349558,377
"Mayagüez, PR Metro Area",0.0006145670304190767,370,0.0005201273265592003,343.0,0.00040997024974848573,365.0,0.0015985949891444045,158
"Cumberland, MD-WV Metro Area",0.0006117313770090103,371,0.0007652522589855549,283.0,0.0004976759633441929,307.0,0.0005508718375360538,356
"Parkersburg-Vienna, WV Metro Area",0.0006115262001031782,372,0.00041459144865960075,379.0,,,0.0005397762873317382,359
"Texarkana, TX-AR Metro Area",0.0006053967335361095,373,0.001079807024392386,212.0,0.0004505589834923594,336.0,0.0006558953430384108,331
"Carson City, NV Metro Area",0.0006010215455134089,374,0.000514362703288198,345.0,0.00046519925317911137,328.0,0.0005970118658311934,344
"Elmira, NY Metro Area",0.0005778967756936608,375,0.0008842020534662758,253.0,0.0004419239920174153,344.0,0.0004343957844762591,387
"Columbus, IN Metro Area",0.0005723993975144855,376,0.0004118304192209765,381.0,0.0006944157992294309,240.0,0.0006590414379575396,329
"Pocatello, ID Metro Area",0.0005652933586180948,377,0.00042062606506191187,376.0,0.0004188633820434295,363.0,0.0006018205236496091,342
"Arecibo, PR Metro Area",0.000555348488952116,378,0.0004646140728566836,365.0,0.00046669001177067967,325.0,0.0005839723298016235,347
"Grand Island, NE Metro Area",0.000544407306781738,379,0.0005052138020759753,351.0,0.000437933755819306,347.0,0.0004527616667556614,384
"Lewiston, ID-WA Metro Area",0.0005365906856676352,380,0.00041509919867724294,378.0,0.00040025339381032657,373.0,0.0005300703179342182,361
"Pine Bluff, AR Metro Area",0.0005313526496808632,381,0.0012238107359558471,182.0,0.0004094662936786369,367.0,0.000615760657284554,339
"Owensboro, KY Metro Area",0.0005267902677379922,382,0.0006249175997298711,311.0,0.000590766065139313,266.0,0.0006565366128319413,330
"Farmington, NM Metro Area",0.0005239358247241194,383,0.00040790881642268045,384.0,0.0004248750497738025,355.0,0.0006958851723503042,322
"San Germán, PR Metro Area",0.0005106330751059125,384,0.00042545704617714025,374.0,0.00040025339381032657,374.0,0.0004592712587058109,383
"Kokomo, IN Metro Area",0.0004941000287656704,385,0.0004610188791794761,366.0,0.00040025339381032657,383.0,0.0006238624607675177,337
"Guayama, PR Metro Area",0.00047027955472974547,386,0.0004799434686215286,361.0,,,0.0005011680583959222,375
"Longview, WA Metro Area",0.0004593933260878655,387,0.0004120699170189052,380.0,0.00040025339381032657,379.0,0.00050376465223933,372
"Danville, IL Metro Area",0.0004570436658810619,388,0.0006828880129837695,298.0,0.00040025339381032657,381.0,0.00047311047767822293,382
