msa,pcpi
"Port St. Lucie, FL","48,727"
"Prescott, AZ","35,465"
"Providence-Warwick, RI-MA","49,545"
"Provo-Orem, UT","35,640"
"Pueblo, CO","35,508"
"Punta Gorda, FL","38,507"
"Racine, WI","44,658"
"Raleigh, NC","50,023"
"Rapid City, SD","45,828"
"Reading, PA","44,745"
"Redding, CA","42,244"
"Reno, NV","50,651"
"Richmond, VA","51,904"
"Riverside-San Bernardino-Ontario, CA","36,433"
"Roanoke, VA","44,137"
"Rochester, MN","48,620"
"Rochester, NY","46,350"
"Rockford, IL","40,203"
"Rocky Mount, NC","36,303"
"Rome, GA","35,446"
"Sacramento--Roseville--Arden-Arcade, CA","51,033"
"Saginaw, MI","35,774"
"St. Cloud, MN","42,391"
"St. George, UT","33,035"
"St. Joseph, MO-KS","35,969"
"St. Louis, MO-IL","49,403"
"Salem, OR","38,239"
"Salinas, CA","51,553"
"Salisbury, MD-DE","45,320"
"Salt Lake City, UT","45,722"
"San Angelo, TX","42,991"
"San Antonio-New Braunfels, TX","43,487"
"San Diego-Carlsbad, CA","54,742"
"San Francisco-Oakland-Hayward, CA","82,523"
"San Jose-Sunnyvale-Santa Clara, CA","84,960"
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","51,732"
"Santa Cruz-Watsonville, CA","59,598"
"Santa Fe, NM","52,257"
"Santa Maria-Santa Barbara, CA","57,168"
"Santa Rosa, CA","55,445"
"Savannah, GA","42,870"
"Scranton--Wilkes-Barre--Hazleton, PA","41,652"
"Seattle-Tacoma-Bellevue, WA","63,623"
"Sebastian-Vero Beach, FL","68,653"
"Sebring, FL","32,407"
"Sheboygan, WI","46,921"
"Sherman-Denison, TX","39,030"
"Shreveport-Bossier City, LA","43,688"
"Sierra Vista-Douglas, AZ","36,979"
"Sioux City, IA-NE-SD","47,599"
"Sioux Falls, SD","55,364"
"South Bend-Mishawaka, IN-MI","42,748"
"Spartanburg, SC","38,909"
"Spokane-Spokane Valley, WA","40,925"
"Springfield, IL","44,161"
"Springfield, MA","47,407"
"Springfield, MO","37,554"
"Springfield, OH","37,249"
"State College, PA","41,520"
"Staunton-Waynesboro, VA","40,746"
